round,batch_size,seed,secret_index,secret_pos_in_batch,best_recon_pos,true_label,pred_label,mse,ssim
1,1,0,7,0,0,3,3,1.5558406403215486e-06,0.9998851583516302
1,1,1,7,0,0,3,3,5.756339760409901e-07,0.9999112595211376
1,1,2,7,0,0,3,3,1.995473212446086e-06,0.9998472069413209
1,1,0,13,0,0,6,6,3.383400439815887e-07,0.9999345472036314
1,1,1,13,0,0,6,6,2.2291398238394322e-07,0.9999527567920606
1,1,2,13,0,0,6,6,3.16153574431155e-07,0.9999274208772281
1,1,0,25,0,0,2,2,1.029398049468e-06,0.9999915174216278
1,1,1,25,0,0,2,2,3.970028501498746e-07,0.9999950273224145
1,1,2,25,0,0,2,2,1.815642121982819e-06,0.9999871483026457
1,4,0,7,3,0,3,3,0.08644679933786392,0.3347146542849951
1,4,1,7,0,0,3,0,4255.619140625,-2.8101378004357464e-05
1,4,2,7,2,0,3,3,0.06055077910423279,0.47746503813605834
1,4,0,13,3,0,6,8,0.08185309171676636,0.3713672473760717
1,4,1,13,1,0,6,5,21773.474609375,-2.7812293619098818e-06
1,4,2,13,1,0,6,9,5641586176.0,-4.3358316596778343e-10
1,4,0,25,0,0,2,3,0.1306232362985611,0.16859857729563493
1,4,1,25,0,0,2,8,0.10651791095733643,0.33391309096767763
1,4,2,25,1,0,2,2,9044.291015625,-2.908477617856579e-07
1,8,0,7,3,0,3,8,6402701824.0,-9.403954983557881e-11
1,8,1,7,0,0,3,4,1633.54736328125,-0.00013708472402886398
1,8,2,7,5,0,3,0,1015.206787109375,-0.00013254569738737037
1,8,0,13,3,0,6,7,21441854.0,-8.869469284403361e-09
1,8,1,13,0,0,6,7,17.55034828186035,-0.0009445602728887974
1,8,2,13,5,0,6,4,3203081472.0,-7.728803814650515e-10
1,8,0,25,4,0,2,0,1209.541748046875,0.000165494931900419
1,8,1,25,6,0,2,4,131604416.0,9.721495241340466e-10
1,8,2,25,5,0,2,2,1248706.25,3.429288124240342e-07
1,16,0,7,2,0,3,6,104395276288.0,2.2625163396214873e-11
1,16,1,7,14,0,3,3,1523.948974609375,-5.2900322238610664e-05
1,16,2,7,2,0,3,2,3218921984.0,1.3015732495495443e-10
1,16,0,13,11,0,6,0,986.002685546875,-8.323053040609174e-05
1,16,1,13,7,0,6,7,719.7213134765625,5.57204906283328e-06
1,16,2,13,14,0,6,3,1.1691405773162842,-0.0025923555713577174
1,16,0,25,7,0,2,2,58448310272.0,-1.2241089112143888e-11
1,16,1,25,1,0,2,2,1041.1990966796875,-0.0001234421985113533
1,16,2,25,10,0,2,7,1.1776390075683594,0.023054002098469965
1,32,0,7,4,0,3,0,1145.0858154296875,0.00019607225453838848
1,32,1,7,25,0,3,3,60.31135559082031,-0.0010886215531552641
1,32,2,7,14,0,3,3,267.5097961425781,-0.00039671376321250007
1,32,0,13,20,0,6,7,1391.3792724609375,-9.313128585264715e-05
1,32,1,13,16,0,6,7,511.42291259765625,-5.415249403995967e-05
1,32,2,13,29,0,6,0,1.1698001623153687,-0.0010328905771787088
1,32,0,25,30,0,2,9,480.9244384765625,0.0004691644617629628
1,32,1,25,21,0,2,2,1107.1024169921875,-0.00017398029896987147
1,32,2,25,0,0,2,2,948.5731811523438,-3.85727678930795e-05
