secret_index,round,seed,true_label,pred_label,label_ok,mse,ssim
7,1,0,3,3,1,1.5558406403215486e-06,0.9998851583516302
7,1,1,3,3,1,5.756339760409901e-07,0.9999112595211376
7,1,2,3,3,1,1.995473212446086e-06,0.9998472069413209
7,1,3,3,3,1,1.6979018937490764e-06,0.9998750918167681
7,1,4,3,3,1,5.632741135741526e-07,0.9999530311704667
7,5,0,3,3,1,3.1236484119290253e-06,0.9997439309338892
7,5,1,3,3,1,1.2580268275996787e-06,0.9998507986137689
7,5,2,3,3,1,4.909042672807118e-06,0.9996538515672211
7,5,3,3,3,1,1.25741701140214e-06,0.999915279017007
7,5,4,3,3,1,2.115349616360618e-06,0.9997665643199416
7,10,0,3,3,1,3.761736707019736e-06,0.9996939090904126
7,10,1,3,3,1,3.7152226468606386e-06,0.9996248853108114
7,10,2,3,3,1,6.335655143629992e-06,0.9995061026131811
7,10,3,3,3,1,4.716454895969946e-06,0.9997853805457265
7,10,4,3,3,1,4.276318122720113e-06,0.999387135190412
7,20,0,3,3,1,1.555580092826858e-05,0.9989450604708727
7,20,1,3,3,1,3.5713612760446267e-06,0.9995654965481482
7,20,2,3,3,1,4.304714366298867e-06,0.9996184375414179
7,20,3,3,3,1,5.746849637944251e-06,0.9994608071471048
7,20,4,3,3,1,1.0082976587000303e-05,0.9991302183590645
7,50,0,3,2,0,166564.875,-3.3545259885437978e-06
7,50,1,3,3,1,0.0016025120858103037,0.9546003956732548
7,50,2,3,3,1,0.004225810989737511,0.9319057068595094
7,50,3,3,3,1,0.006289772689342499,0.9270463148651507
7,50,4,3,3,1,0.001585146295838058,0.9618527939743247
13,1,0,6,6,1,3.383400439815887e-07,0.9999345472036314
13,1,1,6,6,1,2.2291398238394322e-07,0.9999527567920606
13,1,2,6,6,1,3.16153574431155e-07,0.9999274208772281
13,1,3,6,6,1,7.475908319065638e-07,0.9998682334649661
13,1,4,6,6,1,4.7135887371041463e-07,0.9999216081928616
13,5,0,6,6,1,1.2719994629151188e-05,0.9955595978035414
13,5,1,6,6,1,563315.5625,-1.5160588758616578e-07
13,5,2,6,6,1,5.110169240651885e-06,0.998757892526871
13,5,3,6,6,1,2.5230361643480137e-05,0.994482351236107
13,5,4,6,6,1,1.2910297755297506e-06,0.9997716489409613
13,10,0,6,6,1,2.5766912585822865e-06,0.9995623343000727
13,10,1,6,6,1,1.979010221475619e-06,0.9996501271389733
13,10,2,6,6,1,9.101458999793977e-06,0.9993779390804038
13,10,3,6,6,1,9.00937902770238e-06,0.9994311558067306
13,10,4,6,6,1,6.4859223130042665e-06,0.999414583006181
13,20,0,6,6,1,7.532366907980759e-06,0.9992903661875685
13,20,1,6,6,1,3.445963102421956e-06,0.9992998372917333
13,20,2,6,6,1,4.9614500312600285e-06,0.9987618211379721
13,20,3,6,6,1,1.814940696931444e-05,0.9987520803351048
13,20,4,6,6,1,4070596096.0,-7.182163900566044e-11
13,50,0,6,6,1,0.024677274748682976,0.7831800866485785
13,50,1,6,6,1,0.008142155595123768,0.8155312413265082
13,50,2,6,6,1,0.01596875488758087,0.7831902666248801
13,50,3,6,6,1,0.08136898279190063,0.6429091851132699
13,50,4,6,6,1,0.0021204897202551365,0.9035487657813125
25,1,0,2,2,1,1.029398049468e-06,0.9999915174216278
25,1,1,2,2,1,3.970028501498746e-07,0.9999950273224145
25,1,2,2,2,1,1.815642121982819e-06,0.9999871483026457
25,1,3,2,2,1,1.6279935834973003e-06,0.9999856626199297
25,1,4,2,2,1,1.0309936442354228e-06,0.9999912604073847
25,5,0,2,2,1,2.0959887478966266e-06,0.9999756390644499
25,5,1,2,2,1,1.2809033478333731e-06,0.9999767502477347
25,5,2,2,2,1,1.839383799051575e-06,0.9999742132326788
25,5,3,2,2,1,1.965784804269788e-06,0.9999780440626066
25,5,4,2,2,1,1.4490626654151129e-06,0.9999364685913747
25,10,0,2,2,1,2.9919090138719184e-06,0.9999759958302679
25,10,1,2,2,1,5.8010728025692515e-06,0.9999407975634268
25,10,2,2,2,1,1.5837302271393128e-05,0.9999234952217291
25,10,3,2,2,1,3.5216369269619463e-06,0.9999661052768881
25,10,4,2,2,1,8.092854841379449e-06,0.999854989165117
25,20,0,2,2,1,5.3156804824538995e-06,0.9999370046637275
25,20,1,2,2,1,2.798581817842205e-06,0.999933279373429
25,20,2,2,2,1,1.8555791029939428e-05,0.9999162909413172
25,20,3,2,2,1,3.0688647711940575e-06,0.9999613119058373
25,20,4,2,2,1,1.1996714420092758e-05,0.9998961509751879
25,50,0,2,2,1,37078.3046875,-9.274393782297881e-06
25,50,1,2,2,1,0.00019086954125668854,0.9981365297451492
25,50,2,2,2,1,0.0009399287519045174,0.9926970910188581
25,50,3,2,2,1,0.000552414741832763,0.9960068789395419
25,50,4,2,2,1,0.00096645433222875,0.9950271985254997
