secret_index,round,mse_median,mse_q25,mse_q75,mse_iqr,ssim_median,ssim_q25,ssim_q75,ssim_iqr,label_acc
7,1,1.5558406403215486e-06,5.756339760409901e-07,1.6979018937490764e-06,1.1222679177080863e-06,0.9998851583516302,0.999875091816768,0.9999112595211376,3.6167704369538534e-05,100.0
7,5,2.115349616360618e-06,1.2580268275996789e-06,3.1236484119290253e-06,1.8656215843293464e-06,0.9997665643199416,0.9997439309338892,0.9998507986137688,0.00010686767987955204,100.0
7,10,4.276318122720113e-06,3.761736707019736e-06,4.716454895969946e-06,9.547181889502099e-07,0.9996248853108114,0.9995061026131812,0.9996939090904126,0.0001878064772313781,100.0
7,20,5.746849637944251e-06,4.304714366298867e-06,1.0082976587000305e-05,5.778262220701437e-06,0.9994608071471048,0.9991302183590643,0.9995654965481482,0.0004352781890838431,100.0
7,50,0.0042258109897375,0.0016025120858103,0.0062897726893424,0.0046872606035321,0.9319057068595094,0.9270463148651508,0.9546003956732548,0.027554080808104064,80.0
13,1,3.383400439815887e-07,3.16153574431155e-07,4.713588737104147e-07,1.552052992792597e-07,0.999927420877228,0.9999216081928616,0.9999345472036314,1.293901076981907e-05,100.0
13,5,1.2719994629151188e-05,5.110169240651885e-06,2.5230361643480137e-05,2.0120192402828252e-05,0.9955595978035414,0.994482351236107,0.998757892526871,0.004275541290764018,100.0
13,10,6.4859223130042665e-06,2.5766912585822865e-06,9.00937902770238e-06,6.4326877691200934e-06,0.9994311558067306,0.999414583006181,0.9995623343000728,0.00014775129389177355,100.0
13,20,7.532366907980759e-06,4.9614500312600285e-06,1.814940696931444e-05,1.3187956938054413e-05,0.998761821137972,0.9987520803351048,0.9992903661875684,0.0005382858524636269,100.0
13,50,0.0159687548875808,0.0081421555951237,0.0246772747486829,0.0165351191535592,0.7831902666248801,0.7831800866485785,0.8155312413265082,0.032351154677929705,100.0
25,1,1.0309936442354228e-06,1.029398049468e-06,1.6279935834973005e-06,5.985955340293005e-07,0.9999912604073848,0.9999871483026456,0.9999915174216278,4.369118982272546e-06,100.0
25,5,1.839383799051575e-06,1.4490626654151129e-06,1.965784804269788e-06,5.16722138854675e-07,0.99997563906445,0.9999742132326788,0.9999767502477348,2.537015056036651e-06,100.0
25,10,5.8010728025692515e-06,3.5216369269619463e-06,8.092854841379449e-06,4.5712179144175025e-06,0.9999407975634268,0.9999234952217292,0.999966105276888,4.261005515882044e-05,100.0
25,20,5.3156804824538995e-06,3.0688647711940575e-06,1.1996714420092758e-05,8.9278496488987e-06,0.999933279373429,0.9999162909413172,0.9999370046637276,2.0713722410414803e-05,100.0
25,50,0.0009399287519045,0.0005524147418327,0.0009664543322287,0.00041403959039600004,0.9950271985254996,0.992697091018858,0.996006878939542,0.0033097879206840375,100.0
