Sigma,Batch_Size,Seed,Secret_Index,Secret_Pos,True_Label,Pred_Label,Label_Ok,MSE,SSIM,Utility_Loss,Utility_Acc
0.0,1,0,7,0,2,0,0,8318581.5,1.3413173682863544e-08,1.0781463384628296,100.0
0.0,4,0,7,3,2,0,0,36158.90625,9.572548833602923e-07,1.544800043106079,50.0
0.0,8,0,7,3,2,0,0,417175488.0,-5.1690722813191314e-09,1.853228211402893,25.0
0.0,16,0,7,2,2,0,0,1073024.0,-4.676988396568049e-08,1.8376966714859009,25.0
0.01,1,0,7,0,2,0,0,18372.73828125,1.0268073538099998e-06,1.086115837097168,100.0
0.01,4,0,7,3,2,0,0,17055295488.0,-6.623397663663155e-11,1.5493228435516357,50.0
0.01,8,0,7,3,2,0,0,1160633472.0,4.3590994702746855e-10,1.8533331155776978,25.0
0.01,16,0,7,2,2,0,0,6358715392.0,-4.015349996944195e-10,1.8391972780227661,25.0
0.05,1,0,7,0,2,0,0,1.7379117870822195e+17,-4.933081834500868e-18,1.1192219257354736,100.0
0.05,4,0,7,3,2,0,0,92365736.0,-7.509388666449013e-09,1.5681661367416382,50.0
0.05,8,0,7,3,2,0,0,5116.30029296875,-3.965084943047259e-06,1.8550615310668945,25.0
0.05,16,0,7,2,2,0,0,25142742.0,-6.143863195973154e-10,1.8463000059127808,25.0
0.1,1,0,7,0,2,0,0,6395.16748046875,8.007644282770343e-06,1.1634889841079712,100.0
0.1,4,0,7,3,2,0,0,55411.8984375,-3.4638210877346864e-07,1.5935320854187012,50.0
0.1,8,0,7,3,2,0,0,12542231552.0,2.548008028527282e-12,1.8601279258728027,25.0
0.1,16,0,7,2,2,0,0,2165645568.0,3.6725800178771806e-10,1.8578650951385498,25.0
